Cipu;Ra Luos;Endereço Cartorial;Setor;Quadra;Conjunto;Lote;Área de Projeto;Código ;Uos Parâmetro;Uos Setor;Padrão Cores;Inicio de Faixa;Fim de Faixa;Faixa de área;Coef. de aprov. básico;Coef. aprov. máximo;Taxa de ocupação;Taxa de permeabilidade;Altura máxima;Afast. de frente;Afast. de fundo;Afast. lat. direito;Afast. lat. esquerdo;Obs. de afastamento;Galeria;Cota de soleira;Notas específicas;Subsolo;Marquise em área pública;x;y
"387.911";PARK WAY;MSPW CJ 520 LT 1;MSPW;;CJ 520;LT 1;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"388.060";PARK WAY;MSPW CJ 523 LT 1;MSPW;;CJ 523;LT 1;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.510";PARK WAY;MSPW CJ 527 LT 2;MSPW;;CJ 527;LT 2;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"388.141";PARK WAY;MSPW CJ 522 LT 6;MSPW;;CJ 522;LT 6;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"388.418";PARK WAY;MSPW CJ 522 LT 8;MSPW;;CJ 522;LT 8;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"388.504";PARK WAY;MSPW CJ 523 LT 3;MSPW;;CJ 523;LT 3;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.476";PARK WAY;MSPW CJ 522 LT 4;MSPW;;CJ 522;LT 4;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.330";PARK WAY;MSPW CJ 528 LT 7;MSPW;;CJ 528;LT 7;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.493";PARK WAY;MSPW CJ 524 LT 2;MSPW;;CJ 524;LT 2;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.542";PARK WAY;MSPW CJ 522 LT 7;MSPW;;CJ 522;LT 7;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.545";PARK WAY;MSPW CJ 526 LT 3;MSPW;;CJ 526;LT 3;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.614";PARK WAY;MSPW CJ 531 LT 4;MSPW;;CJ 531;LT 4;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.619";PARK WAY;MSPW CJ 525 LT 8;MSPW;;CJ 525;LT 8;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.621";PARK WAY;MSPW CJ 526 LT 1;MSPW;;CJ 526;LT 1;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.641";PARK WAY;MSPW CJ 530 LT 5;MSPW;;CJ 530;LT 5;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.653";PARK WAY;MSPW CJ 530 LT 4;MSPW;;CJ 530;LT 4;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.657";PARK WAY;MSPW CJ 529 LT 2;MSPW;;CJ 529;LT 2;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.688";PARK WAY;MSPW CJ 520 LT 5;MSPW;;CJ 520;LT 5;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.691";PARK WAY;MSPW CJ 519 LT 6;MSPW;;CJ 519;LT 6;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.698";PARK WAY;MSPW CJ 526 LT 9;MSPW;;CJ 526;LT 9;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.735";PARK WAY;MSPW CJ 528 LT 10;MSPW;;CJ 528;LT 10;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.738";PARK WAY;MSPW CJ 530 LT 9;MSPW;;CJ 530;LT 9;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.742";PARK WAY;MSPW CJ 522 LT 2;MSPW;;CJ 522;LT 2;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
"387.746";PARK WAY;MSPW CJ 518 LT 5;MSPW;;CJ 518;LT 5;"20.000";2401;RE 2;RE 2;RE 2;"17.000";"22.000";17000<a≤22000;"0,45";"0,45";"45";"40";"9,5";"5";"5";"5";"5";;NÃO INFORMADO;PONTO MÉDIO DA EDIFICAÇÃO;NÃO;PERMITIDO TIPO 1;PROIBIDO;;
