,,,,,,RE 1,RE 2,RE 3,RO 1,RO 2,CSIIR 1 NO,CSIIR 1,CSIIR 2 NO,CSIIR 2,CSIIR 3,CSII 1,CSII 2,CSII 3,CSIIndR,CSIInd 1,CSIInd 2,CSIInd 3,Inst,PAC 1,PAC 2,PAC 3
,45-G,"45,1",45.11-1,4511-1/01,"Comércio a varejo de automóveis, camionetas e utilitários novos",0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
,45-G,"45,1",45.11-1,4511-1/02,"Comércio a varejo de automóveis, camionetas e utilitários usados",0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
,45-G,"45,1",45.11-1,4511-1/03,"Comércio por atacado de automóveis, camionetas e utilitários novos e usados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
,45-G,"45,1",45.11-1,4511-1/04,Comércio por atacado de caminhões novos e usados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
,45-G,"45,1",45.11-1,4511-1/05,Comércio por atacado de reboques e semi-reboques novos e usados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
,45-G,"45,1",45.11-1,4511-1/06,Comércio por atacado de ônibus e microônibus novos e usados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
,45-G,"45,1",45.12-9,4512-9/01,Representantes comerciais e agentes do comércio de veículos automotores,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,45-G,"45,1",45.12-9,4512-9/02,Comércio sob consignação de veículos automotores (no varejo e por atacado),0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
,45-G,"45,3",45.30-7,4530-7/01,Comércio por atacado de peças e acessórios novos para veículos automotores,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,45-G,"45,3",45.30-7,4530-7/02,Comércio por atacado de pneumáticos e câmaras-de-ar,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,45-G,"45,3",45.30-7,4530-7/03,Comércio a varejo de peças e acessórios novos para veículos automotores,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,45-G,"45,3",45.30-7,4530-7/04,Comércio a varejo de peças e acessórios usados para veículos automotores,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,45-G,"45,3",45.30-7,4530-7/05,Comércio a varejo de pneumáticos e câmaras-de-ar,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,45-G,"45,3",45.30-7,4530-7/06,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,45-G,"45,4",45.41-2,4541-2/01,Comércio por atacado de motocicletas e motonetas,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0
,45-G,"45,4",45.41-2,4541-2/02,Comércio por atacado de peças e acessórios para motocicletas e motonetas,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
,45-G,"45,4",45.41-2,4541-2/03,Comércio a varejo de motocicletas e motonetas novas,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
,45-G,"45,4",45.41-2,4541-2/04,Comércio a varejo de motocicletas e motonetas usadas,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
,45-G,"45,4",45.41-2,4541-2/05,Comércio a varejo de peças e acessórios para motocicletas e motonetas,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,45-G,"45,4",45.42-1,4542-1/01,"Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,45-G,"45,4",45.42-1,4542-1/02,Comércio sob consignação de motocicletas e motonetas (no varejo e por atacado),0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.11-7,4611-7/00,Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.12-5,4612-5/00,"Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.13-3,4613-3/00,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.14-1,4614-1/00,"Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.15-0,4615-0/00,"Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.16-8,4616-8/00,"Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.17-6,4617-6/00,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.18-4,4618-4/01,"Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.18-4,4618-4/02,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.18-4,4618-4/03,"Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
,46-G,"46,1",46.18-4,4618-4/99,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente (vide produtos citados nas Notas Explicativas da CNAE),0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
